"data";"valor"
"01/09/2000";"31,05"
"01/10/2000";"31,42"
"01/11/2000";"32,17"
"01/12/2000";"32,27"
"01/01/2001";"34,56"
"01/02/2001";"34,90"
"01/03/2001";"34,12"
"01/04/2001";"35,25"
"01/05/2001";"37,99"
"01/06/2001";"40,23"
"01/07/2001";"41,13"
"01/08/2001";"42,05"
"01/09/2001";"41,81"
"01/10/2001";"40,69"
"01/11/2001";"40,13"
"01/12/2001";"39,84"
"01/01/2002";"40,70"
"01/02/2002";"40,34"
"01/03/2002";"40,01"
"01/04/2002";"39,78"
"01/05/2002";"39,16"
"01/06/2002";"36,76"
"01/07/2002";"35,60"
"01/08/2002";"34,57"
"01/09/2002";"34,85"
"01/10/2002";"35,53"
"01/11/2002";"35,39"
"01/12/2002";"35,32"
"01/01/2003";"34,21"
"01/02/2003";"33,91"
"01/03/2003";"33,21"
"01/04/2003";"32,85"
"01/05/2003";"32,88"
"01/06/2003";"32,79"
"01/07/2003";"32,56"
"01/08/2003";"32,11"
"01/09/2003";"32,11"
"01/10/2003";"32,10"
"01/11/2003";"32,06"
"01/12/2003";"32,04"
"01/01/2004";"32,13"
"01/02/2004";"31,47"
"01/03/2004";"30,57"
"01/04/2004";"30,22"
"01/05/2004";"30,77"
"01/06/2004";"30,36"
"01/07/2004";"30,34"
"01/08/2004";"29,60"
"01/09/2004";"28,83"
"01/10/2004";"28,72"
"01/11/2004";"28,21"
"01/12/2004";"28,29"
"01/01/2005";"28,73"
"01/02/2005";"28,32"
"01/03/2005";"28,01"
"01/04/2005";"28,16"
"01/05/2005";"27,69"
"01/06/2005";"27,42"
"01/07/2005";"27,81"
"01/08/2005";"27,65"
"01/09/2005";"27,46"
"01/10/2005";"27,67"
"01/11/2005";"27,28"
"01/12/2005";"27,49"
"01/01/2006";"28,89"
"01/02/2006";"29,67"
"01/03/2006";"29,45"
"01/04/2006";"29,79"
"01/05/2006";"29,44"
"01/06/2006";"29,38"
"01/07/2006";"30,12"
"01/08/2006";"30,01"
"01/09/2006";"29,82"
"01/10/2006";"30,35"
"01/11/2006";"30,96"
"01/12/2006";"31,06"
"01/01/2007";"31,88"
"01/02/2007";"31,64"
"01/03/2007";"31,88"
"01/04/2007";"32,69"
"01/05/2007";"33,28"
"01/06/2007";"34,43"
"01/07/2007";"35,59"
"01/08/2007";"35,26"
"01/09/2007";"36,05"
"01/10/2007";"36,74"
"01/11/2007";"36,33"
"01/12/2007";"36,47"
"01/01/2008";"37,61"
"01/02/2008";"37,51"
"01/03/2008";"37,80"
"01/04/2008";"39,26"
